name,visitors
Safari,527308
Chrome,309379
Mobile App,28282
Samsung Browser,26915
Firefox,26074
Microsoft Edge,18865
Opera,1754
MIUI Browser,1394
Huawei Browser Mobile,833
Mobile Silk,390
(not set),379
Ecosia,300
Yandex Browser,275
vivo Browser,268
Opera Touch,123
Opera GX,107
AdBlock Browser,79
Reeder,60
Whale Browser,47
QtWebEngine,39
Phoenix Browser,24
DuckDuckGo Privacy Browser,23
Aloha Browser,18
Quark,16
Pale Moon,14
Ghostery Privacy Browser,12
Firefox Focus,11
Steam In-Game Overlay,10
UC Browser,9
Iron,9
Yahoo! Japan Browser,9
AOL Desktop,7
QQ Browser,7
Openwave Mobile Browser,7
Oculus Browser,6
VMware AirWatch,6
Edge WebView,6
Thunderbird,5
Puffin,5
Android Browser,4
Qwant Mobile,4
Liferea,3
Mypal,3
SeaMonkey,3
PrivacyWall,3
Waterfox,3
Smart Lenovo Browser,3
Sleipnir,2
Meizu Browser,2
Midori,2
CoolBrowser,2
surf,2
Firefox Rocket,2
Maxthon,2
Jio Browser,2
Mint Browser,2
UC Browser Turbo,2
Basilisk,2
Avast Secure Browser,2
Sogou Explorer,2
Internet Explorer,2
NetFront,2
Iron Mobile,2
Falkon,2
Chromium,2
Wear Internet Browser,1
Centaury,1
Lovense Browser,1
CM Browser,1
Aloha Browser Lite,1
Iridium,1
QuiteRSS,1
Craving Explorer,1
Realme Browser,1
Huawei Browser,1
QupZilla,1
curl,1
Hi Browser,1
Konqueror,1
Atom,1
