name,visitors
United States,417233
United Kingdom,76346
Canada,47557
India,45705
Germany,33543
Australia,22517
Poland,22164
France,17966
Netherlands,15516
Sweden,12543
Spain,11950
Turkey,11386
Brazil,9720
Switzerland,7902
South Africa,7869
Italy,7702
Mexico,7595
Japan,7053
Ireland,7006
Norway,6327
Romania,5646
Singapore,5527
Belgium,5169
Portugal,4986
Finland,4740
Denmark,4445
Austria,4412
New Zealand,4335
Indonesia,4151
Czechia,4121
Hong Kong,3945
United Arab Emirates,3916
Israel,3794
Saudi Arabia,3741
Philippines,3633
Argentina,3357
Malaysia,3177
Nigeria,3164
Ukraine,3142
Pakistan,2823
Kenya,2498
Thailand,2477
South Korea,2439
Colombia,2260
Greece,2099
Vietnam,1903
Hungary,1778
Serbia,1676
Bulgaria,1629
Chile,1623
Taiwan,1485
Egypt,1445
Croatia,1353
Slovakia,1328
Slovenia,1277
China,1194
Lithuania,1143
Morocco,1094
Russian Federation,1059
Ghana,1014
Estonia,980
Peru,880
Latvia,876
Costa Rica,816
Tanzania,816
Dominican Republic,741
Bangladesh,722
Nepal,678
Ecuador,662
Cyprus,660
Qatar,634
Puerto Rico,622
Uganda,582
Uruguay,575
Luxembourg,574
Lebanon,554
Kuwait,553
Venezuela,544
Iceland,527
Guatemala,516
Georgia,508
Jordan,474
North Macedonia,466
Belarus,449
Oman,419
Bosnia and Herzegovina,418
Sri Lanka,408
Iraq,400
El Salvador,388
Malta,378
Panama,372
Algeria,370
Zimbabwe,332
Paraguay,325
Kazakhstan,316
Armenia,312
Kosovo,294
Albania,290
Jamaica,279
Honduras,270
Uzbekistan,263
Rwanda,252
Bahrain,245
Cambodia,243
Moldova,240
Tunisia,222
Maldives,216
Ethiopia,209
Zambia,202
Montenegro,179
Trinidad and Tobago,167
Azerbaijan,157
Nicaragua,146
Jersey,133
Namibia,131
Senegal,130
Bolivia,127
Myanmar,125
Côte d'Ivoire,123
Bahamas,114
Malawi,113
Mauritius,111
"Palestine, State of",108
Cameroon,105
Botswana,99
Isle of Man,96
Sudan,93
Kyrgyzstan,92
Cayman Islands,88
Mozambique,87
Libya,85
Mongolia,77
Somalia,76
"Congo, The Democratic Republic of the",71
Barbados,69
Macao,68
Angola,67
Bermuda,65
Andorra,64
Gibraltar,63
Guernsey,63
Belize,59
Monaco,57
Burkina Faso,57
Cuba,57
Benin,56
Afghanistan,53
Curaçao,52
Réunion,48
Brunei Darussalam,48
Yemen,44
Aruba,43
Fiji,41
Haiti,41
"Virgin Islands, U.S.",40
Guadeloupe,40
Togo,35
French Polynesia,34
Lao People's Democratic Republic,34
Mali,32
Bhutan,32
Eswatini,31
Sierra Leone,31
Guam,30
Syrian Arab Republic,28
Djibouti,28
Seychelles,25
Gambia,25
Faroe Islands,23
Martinique,23
Liechtenstein,22
Sint Maarten (Dutch part),21
Guinea,21
Turks and Caicos Islands,21
Åland Islands,20
Saint Lucia,19
Cabo Verde,19
Mauritania,19
"Iran, Islamic Republic of",19
Madagascar,19
"Virgin Islands, British",19
Tajikistan,18
Guyana,18
New Caledonia,18
Papua New Guinea,18
South Sudan,18
Grenada,16
Anguilla,16
Lesotho,15
Liberia,14
Antigua and Barbuda,14
Saint Kitts and Nevis,13
Gabon,13
Greenland,12
Suriname,12
Saint Vincent and the Grenadines,11
Saint Martin (French part),10
"Bonaire, Sint Eustatius and Saba",10
Congo,10
Niger,10
Dominica,9
Burundi,9
Vanuatu,7
Solomon Islands,6
Chad,6
Samoa,5
San Marino,4
Saint Barthélemy,4
Tonga,4
Palau,3
Northern Mariana Islands,3
Mayotte,3
American Samoa,3
Cook Islands,3
French Guiana,3
Eritrea,2
Turkmenistan,2
Timor-Leste,2
Holy See (Vatican City State),2
Equatorial Guinea,2
Sao Tome and Principe,1
Marshall Islands,1
Guinea-Bissau,1
Comoros,1
French Southern Territories,1
Montserrat,1
