name,visitors
California,67454
England,64518
Texas,36240
New York,32669
Florida,26759
Ontario,21949
Illinois,17881
Washington,17826
Pennsylvania,14166
Massachusetts,12359
Ohio,11779
New Jersey,11698
Georgia,11572
North Carolina,11216
Virginia,10790
Colorado,10295
Michigan,9774
Arizona,9131
British Columbia,9027
New South Wales,8345
Karnātaka,8116
Mahārāshtra,8087
Île-de-France,7846
Tennessee,7298
Minnesota,6909
Mazovia,6826
Quebec,6733
Victoria,6553
Missouri,6404
Maryland,6202
Delhi,6105
North Rhine-Westphalia,5979
Indiana,5925
Bavaria,5893
Leinster,5781
Oregon,5733
Stockholms län,5691
Alberta,5528
İstanbul,5248
North Holland,5179
Utah,5038
Telangāna,4894
Berlin,4811
Tamil Nādu,4749
Wisconsin,4705
Scotland,4579
Connecticut,4368
Gauteng,4271
Hesse,4264
Baden-Württemberg,3977
South Holland,3873
Queensland,3871
São Paulo,3859
Zürich,3806
Nevada,3724
Nyland,3499
Alabama,3482
Community of Madrid,3473
District of Columbia,3406
South Carolina,3328
Oklahoma,3250
Catalonia,3204
Lesser Poland,3086
Louisiana,3009
Iowa,2993
Vienna,2866
Kentucky,2849
Oslo,2849
Flemish Region,2758
Tokyo,2734
București,2693
Capital Region of Denmark,2686
Dubayy,2686
Central and Western Hong Kong Island,2607
Lombardy,2478
Kansas,2445
Lisboa,2396
Ciudad de México,2372
Prague,2349
Auckland,2331
Western Cape,2304
Nebraska,2292
Nairobi City,2152
Lower Silesia,2140
Silesia,2095
Wales,2075
Västra Götalands län,2032
Tel Aviv,2011
Greater Poland,2001
Idaho,1969
Ar Riyāḑ,1928
Gujarāt,1902
Hamburg,1855
Lower Saxony,1845
Lagos,1816
Brussels-Capital Region,1782
Western Australia,1772
Wilayah Persekutuan Kuala Lumpur,1684
Arkansas,1677
National Capital Region,1632
Buenos Aires,1598
Uttar Pradesh,1591
New Hampshire,1556
Krung Thep Maha Nakhon,1554
Auvergne-Rhône-Alpes,1528
Punjab,1485
Jakarta Raya,1459
Skåne län,1449
Attica,1403
Mississippi,1399
North Brabant,1394
Andalusia,1389
Utrecht,1369
Pomerania,1367
Ankara,1331
Provence-Alpes-Côte-d’Azur,1299
Seoul,1295
Rhode Island,1292
West Bengal,1283
Hawaii,1259
Región Metropolitana de Santiago,1248
Rājasthān,1213
South Australia,1210
Kyiv,1191
Manitoba,1174
Budapest,1171
Beograd,1165
Kerala,1151
Maine,1111
New Mexico,1108
Northern Ireland,1104
Distrito Capital de Bogotá,1059
Porto,1042
Rio de Janeiro,1038
Greater Accra,989
Gelderland,977
Nova Scotia,974
Valencian Community,967
Lazio,967
Jalisco,941
Makkah al Mukarramah,938
Vaud,935
Saxony,929
Saskatchewan,928
İzmir,928
Łódź,924
Rhineland-Palatinate,921
Nuevo León,891
Sofia (stolitsa),879
West Virginia,878
Viken,874
Zagreb City,863
Selangor,848
Bihār,833
Hauts-de-France,828
Haryāna,827
Occitanie,823
Hồ Chí Minh,820
Abū Z̧aby,819
Ciudad Autónoma de Buenos Aires,812
Minas Gerais,803
Harjumaa,788
Vilnius County,787
Grand-Est,777
Andhra Pradesh,772
Madhya Pradesh,770
Munster,755
Cairo,751
Rīga,731
Montana,728
Lima hatun llaqta,728
,724
Bratislavský kraj,722
Kuyavia-Pomerania,714
Nouvelle-Aquitaine,710
Central,705
Kwazulu-Natal,705
Delaware,692
Santa Catarina,683
Paraná,681
Rio Grande do Sul,670
Bern,662
Calabarzon,653
Veneto,635
South Dakota,624
Central Denmark Region,619
Ad Dawḩah,616
Sindh,614
Jawa Barat,610
Schleswig-Holstein,607
Ljubljana,603
Wellington,590
Walloon Region,581
Subcarpathia,576
Santo Domingo,573
Canterbury,573
New Brunswick,547
North Dakota,544
Cluj,536
Taipei,532
Hà Nội,528
San José,527
Central,521
Al ‘Āşimah,508
Alaska,506
Flevoland,505
Guatemala,505
Kanagawa,505
Punjab,504
Overijssel,503
Osaka,502
Gyeonggi,501
Lublin,496
Vermont,483
Ash Sharqīyah,482
Vestland,481
Odisha,481
Emilia-Romagna,479
Bāgmatī,477
Genève,462
Moskva,459
Höfuðborgarsvæði,457
Rivers,457
Lvivska oblast,453
Trööndelage,453
Jawa Timur,453
Brandenburg,450
Antioquia,447
Antalya,444
Piedmont,439
Al ‘A̅şimah,439
Wyoming,436
Tbilisi,433
Bursa,432
Uppsala län,430
Montevideo,429
Chandigarh,424
Limburg,417
Dhaka,411
Region of Southern Denmark,408
West Pomerania,406
México,406
Casablanca-Settat,402
Distrito Federal,400
Pays-de-la-Loire,400
Quintana Roo,396
Aargau,386
Assam,386
Australian Capital Territory,381
Canary Islands,376
Region Zealand,371
Central Luzon,371
New Taipei,363
Tuscany,361
Masqaţ,361
South Moravia,358
Panamá,350
San Salvador,349
Central Macedonia,346
Abuja Federal Capital Territory,345
Rogaland,338
Bretagne,335
Östergötlands län,334
Newfoundland and Labrador,325
Islamabad,325
Nicosia,322
Basque Country,314
Baja California,307
Western Province,304
Connaught,302
Pichincha,301
Yerevan,299
Galicia,297
City of Minsk,297
Luxembourg,291
Harare,290
Timiș,289
Groningen,287
Jawa Tengah,287
Birkaland,286
Norra Österbotten,285
Thuringia,280
Central Visayas,280
Castile and León,279
Ash Shāriqah,274
Upper Austria,272
Adana,271
Iași,270
,270
Normandie,269
Trentino-Alto Adige,265
Chiba,265
Setúbal,264
Ilfov,264
Lower Austria,262
Vestfold og Telemark,261
Podlaskie,259
Saitama,255
Haifa,253
Guayas,248
