name,visitors,bounce_rate,visit_duration
Direct / None,933877,90,29
tldrnewsletter,5921,83,66
hackernewsletter,674,79,59
substack,486,80,79
rasa_io,57,96,40
pocket_mylist,32,79,180
Artificial_Intelligence_Weekly_320,23,87,10
pocket_saves,21,75,144
extension,5,100,0
tldrnewsletter],5,60,257
clubhouse,4,75,8
mostlybits,3,67,61
pocket_reader,2,50,54
share,2,100,0
zalo,2,50,2
tldrnewsletter][:blush,2,100,0
facebook,1,100,0
tldrnewsletter/1/010001865a0e7d8a-a579a037-2001-43c6-8c37-5edce7abb065-000000/SXLt6Lfno6dyRJ0m7WAdqXmWHj2AMvZe8nUFLmrAlLA=288,1,0,3
tldrnewsletter/1/0100018659fe0208-cdede8fb-47cf-4a80-a119-90d94cad1ef5-000000/lXBX0q82zEAukrVhI4qIUnUWUAGEaRI-MSw6pn7zDqk=288,1,100,0
TheMentalPivotNewsletter,1,100,0
newsletter,1,0,13
twitter,1,100,0
linkedin,1,100,0
iOS+Dev+Weekly+Issue+597,1,100,0
